"ts","uid","id_orig_h","id_orig_p","id_resp_h","id_resp_p","trans_depth","method","host","uri","referrer","version","user_agent","request_body_len","response_body_len","status_code","status_msg","info_code","info_msg","tags","username","password","proxied","orig_fuids","orig_filenames","orig_mime_types","resp_fuids","resp_filenames","resp_mime_types"
"100.767369","CQDhKf3cZxFr9DpGJ5","10.0.2.15","49163","104.108.166.105","80","1","GET","go.microsoft.com","/fwlink/?LinkId=57426&Ext=pyw","-","1.1","Mozilla/5.0 (Windows NT 6.1; rv:53.0) Gecko/20100101 Firefox/53.0","0","0","302","Found","-","-","(empty)","-","-","-","-","-","-","-","-"
"10010.232510","C2TeIb11dJUbUXbO53","10.0.2.15","50935","104.127.51.246","80","1","POST","ocsp.entrust.net","/","-","1.1","Mozilla/5.0 (Windows NT 6.1; rv:53.0) Gecko/20100101 Firefox/53.0","71","2108","200","OK","-","-","(empty)","-","-","-","FQkHzU3v73BiJngdXh","-","application/ocsp-request","F9wCSB3NqHgXdbgFC4","-"
"10010.235987","ClTM424Mw9OXxgzKlh","10.0.2.15","50936","104.127.51.246","80","1","POST","ocsp.entrust.net","/","-","1.1","Mozilla/5.0 (Windows NT 6.1; rv:53.0) Gecko/20100101 Firefox/53.0","71","2108","200","OK","-","-","(empty)","-","-","-","FHtm7d24N3KlunRZr1","-","application/ocsp-request","FUWmjc1CbZH39vrBn4","-"
"10013.628741","Cn99nJ1eVlSUO7cTD7","10.0.2.15","50948","93.184.220.29","80","1","POST","ocsp.digicert.com","/","-","1.1","Mozilla/5.0 (Windows NT 6.1; rv:53.0) Gecko/20100101 Firefox/53.0","83","471","200","OK","-","-","(empty)","-","-","-","FtgCCq3aprKddrj4y3","-","application/ocsp-request","FPnzM22DOogqOUcoL2","-"
"10013.645260","CEBVHo11zuGgDQf6L4","10.0.2.15","50950","93.184.220.29","80","1","POST","ocsp.digicert.com","/","-","1.1","Mozilla/5.0 (Windows NT 6.1; rv:53.0) Gecko/20100101 Firefox/53.0","83","471","200","OK","-","-","(empty)","-","-","-","FqQD1M3u3UUWp9VnIg","-","application/ocsp-request","Frz1Vn2JuQevlH78C","-"
"10018.493491","CYbD4D3AaWRd0WoyJf","10.0.2.15","50957","34.203.227.58","80","1","GET","afs.moatads.com","/empty_flash?tracer=","https://www.aol.com/","-","Mozilla/5.0 (Windows NT 6.1; rv:53.0) Gecko/20100101 Firefox/53.0","0","0","-","-","-","-","(empty)","-","-","-","-","-","-","-","-"
"10021.762200","CWSAf42NzuPlX7gnA4","10.0.2.15","50958","34.203.227.58","80","1","GET","afs.moatads.com","/empty_flash?e=0&q=0&lo=1&qs=5&ak=https://secure.bannerfarm.ace.advertising.com//CDN/279/CSG_TWW_MKT_20080513_01-_photo_300x600.jpg&i=AOL2&bq=2&g=0&h=600&w=300&cm=1&pl=0&f=0&j=https://moz.com&o=4&bn=769da32-clean&t=1493596033354&de=546572208548&cu=1493596032814&m=29673&ar=2269dd6-clean&cb=0&r=25.0.0&dl=0&dm=1000&dn=87&gh=1&qa=960&qb=475&qi=960&qj=445&qf=960&qe=374&qh=976&qg=461&lk=undefined&lb=11662&le=1&ch=0&as=0&ag=0&an=0&gf=0&gg=0&pg=48&pf=0&ib=0&cc=0&bw=0&bx=0&em=0&en=0&bu=0&cd=0&ah=0&am=0&ai=2205&cl=0&au=-1&av=-1&by=-1&at=0&d=5668851:18&bd=93315260&bo=&zMoatUAID=na&ab=1&ac=1&it=500&cs=0","https://www.aol.com/","-","Mozilla/5.0 (Windows NT 6.1; rv:53.0) Gecko/20100101 Firefox/53.0","0","0","-","-","-","-","(empty)","-","-","-","-","-","-","-","-"
"10026.564632","C8YHPu1qZGeY71rNk","10.0.2.15","50972","93.184.220.29","80","1","POST","ocsp.digicert.com","/","-","1.1","Mozilla/5.0 (Windows NT 6.1; rv:53.0) Gecko/20100101 Firefox/53.0","83","471","200","OK","-","-","(empty)","-","-","-","FJj4uR20H9vHQTMgu","-","application/ocsp-request","F4GdSb3iXuKffLHwtb","-"
"1004.431674","CJqJjKXfLP8VzQD3a","10.0.2.15","51257","2.21.229.80","80","18","GET","demandware.edgesuite.net","/aamz_prd/on/demandware.static/-/Sites-disneyuk-Library/default/dwe8514911/img/party/headers/shop_hero.jpg","http://www.disneystore.co.uk/disney-party","1.1","Mozilla/5.0 (Windows NT 6.1; rv:53.0) Gecko/20100101 Firefox/53.0","0","138391","200","OK","-","-","(empty)","-","-","-","-","-","-","Ft073xRPfL9vm3Pv1","-"
"10060.768543","CDJlPz1KUzPSl0vWwg","10.0.2.15","51003","2.21.74.80","80","1","POST","ocsp.startssl.com","/","-","1.1","Mozilla/5.0 (Windows NT 6.1; rv:53.0) Gecko/20100101 Firefox/53.0","83","1816","200","OK","-","-","(empty)","-","-","-","FMb6VI2txYZ7Rjbkv3","-","application/ocsp-request","FflCo74ArAW0tRTZ6k","-"
